Please cite: Lisiecki, L. E., and M. E. Raymo (2005), A Pliocene-
Pleistocene stack of 57 globally distributed benthic d18O records, 
Paleoceanography,20, PA1003, doi:10.1029/2004PA001071.		

Time (ka)	Benthic d18O (per mil)	Standard error (per mil)
1672.5	3.86	0.06
1675.0	3.55	0.08
1677.5	3.72	0.05
1680.0	3.65	0.06
1682.5	3.57	0.07
1685.0	3.59	0.05
1687.5	3.74	0.05
1690.0	3.72	0.06
1692.5	3.75	0.06
1695.0	3.82	0.05
1697.5	3.77	0.09
1700.0	4.09	0.06
1702.5	4.15	0.06
1705.0	4.12	0.07
1707.5	4.17	0.06
1710.0	3.93	0.06
1712.5	3.86	0.07
1715.0	3.83	0.06
1717.5	3.57	0.06
1720.0	3.52	0.06
1722.5	3.72	0.07
1725.0	3.79	0.07
1727.5	3.80	0.07
1730.0	3.74	0.10
1732.5	3.86	0.08
1735.0	3.60	0.07
1737.5	3.60	0.06
1740.0	3.71	0.08
1742.5	3.69	0.10
1745.0	4.13	0.07
1747.5	4.21	0.08	
1750.0	4.16	0.05	
1752.5	3.85	0.07	
1755.0	3.74	0.04	
1757.5	3.83	0.08	
1760.0	3.53	0.09	
1762.5	3.63	0.08	
1765.0	3.49	0.08	
1767.5	3.52	0.08	
1770.0	3.48	0.06	
1772.5	3.38	0.08	
1775.0	3.53	0.06	
1777.5	3.57	0.05	
1780.0	3.65	0.06	
1782.5	3.80	0.09	
1785.0	3.77	0.07	
1787.5	3.85	0.07
1790.0	3.99	0.08
1792.5	4.06	0.06
1795.0	4.09	0.05
1797.5	3.89	0.10
1800.0	3.95	0.04
1802.5	3.80	0.05
1805.0	3.68	0.04
1807.5	3.66	0.07
1810.0	3.52	0.06
1812.5	3.68	0.06
1815.0	3.61	0.06
1817.5	3.98	0.06
1820.0	3.82	0.08
1822.5	3.73	0.08
1825.0	3.72	0.07
1827.5	3.65	0.04
1830.0	3.42	0.08
1832.5	3.63	0.07
1835.0	3.68	0.07
1837.5	3.57	0.06
1840.0	3.57	0.06
1842.5	3.57	0.10
1845.0	3.61	0.10
1847.5	3.80	0.08
1850.0	3.62	0.11
1852.5	3.61	0.06
1855.0	3.56	0.07
1857.5	3.64	0.07
1860.0	3.89	0.05
1862.5	4.19	0.06
1865.0	4.16	0.07
1867.5	3.97	0.06
1870.0	3.95	0.11
1872.5	3.83	0.09
1875.0	3.84	0.07
1877.5	3.73	0.11
1880.0	3.77	0.09
1882.5	3.69	0.06
1885.0	3.75	0.05
1887.5	3.59	0.06
1890.0	3.68	0.06
1892.5	3.61	0.05
1895.0	3.74	0.07
1897.5	3.69	0.08
1900.0	4.02	0.05
1902.5	3.93	0.12
1905.0	4.01	0.06
1907.5	3.83	0.09
1910.0	3.81	0.11
1912.5	3.81	0.07
1915.0	3.70	0.06
1917.5	3.64	0.07
1920.0	3.70	0.06
1922.5	3.65	0.08
1925.0	3.50	0.07
1927.5	3.48	0.09
1930.0	3.51	0.08
1932.5	3.45	0.09
1935.0	3.52	0.05
1937.5	3.58	0.09
1940.0	3.51	0.08
1942.5	4.02	0.05
1945.0	4.03	0.10
1947.5	4.17	0.07
1950.0	4.10	0.07
1952.5	4.02	0.06
1955.0	3.89	0.07
1957.5	3.77	0.11
1960.0	3.86	0.09
1962.5	3.90	0.05
1965.0	3.74	0.07
1967.5	3.61	0.10
1970.0	3.75	0.07
1972.5	3.50	0.07
1975.0	3.55	0.06
1977.5	3.45	0.04
1980.0	3.33	0.04
1982.5	3.38	0.07
1985.0	3.36	0.07
1987.5	3.52	0.07
1990.0	3.65	0.08
1992.5	3.68	0.10
1995.0	3.58	0.09
1997.5	3.69	0.08
2000.0	3.85	0.06
2002.5	3.81	0.09
2005.0	3.92	0.07
2007.5	3.89	0.07
2010.0	3.55	0.06
2012.5	3.63	0.09
2015.0	3.81	0.08
2017.5	3.54	0.07
2020.0	3.57	0.07
2022.5	3.46	0.08
2025.0	3.24	0.07
2027.5	3.44	0.07
2030.0	3.34	0.08
2032.5	3.36	0.06
2035.0	3.56	0.05
2037.5	3.63	0.07
2040.0	3.67	0.06
2042.5	3.62	0.07
2045.0	3.92	0.07
2047.5	3.78	0.07
2050.0	3.71	0.08
2052.5	3.62	0.09
2055.0	3.60	0.06
2057.5	3.72	0.08
2060.0	3.74	0.08
2062.5	3.88	0.05
2065.0	4.18	0.07
2067.5	4.18	0.06
2070.0	4.21	0.07
2072.5	4.28	0.05
2075.0	4.16	0.06
2077.5	4.15	0.05
2080.0	3.96	0.06
2082.5	3.99	0.09
2085.0	3.85	0.07
2087.5	3.88	0.08
2090.0	3.70	0.07
2092.5	3.63	0.06
2095.0	3.49	0.07
2097.5	3.46	0.07
2100.0	3.44	0.10
2102.5	3.55	0.07
2105.0	3.66	0.07
2107.5	3.63	0.08
2110.0	3.51	0.06
2112.5	3.50	0.06
2115.0	3.50	0.10
2117.5	3.72	0.08
2120.0	3.68	0.10
2122.5	3.68	0.08
2125.0	3.50	0.10
2127.5	3.47	0.09
2130.0	3.32	0.09
2132.5	3.29	0.07
2135.0	3.29	0.12
2137.5	3.34	0.10
2140.0	3.23	0.07
2142.5	3.44	0.07
2145.0	3.60	0.07
2147.5	4.00	0.06
2150.0	4.15	0.06
2152.5	4.22	0.07
2155.0	4.23	0.06
2157.5	4.10	0.05
2160.0	4.15	0.06
2162.5	3.94	0.07
2165.0	3.88	0.04
2167.5	3.77	0.06
2170.0	3.69	0.03
2172.5	3.67	0.07
2175.0	3.56	0.06
2177.5	3.50	0.05
2180.0	3.36	0.08
2182.5	3.41	0.08
2185.0	3.42	0.04
2187.5	3.38	0.09
2190.0	3.56	0.05
2192.5	3.68	0.05
2195.0	3.77	0.07
2197.5	3.83	0.05
2200.0	3.86	0.07
2202.5	3.83	0.06
2205.0	3.74	0.05
2207.5	3.60	0.06
2210.0	3.59	0.05
2212.5	3.46	0.06
2215.0	3.59	0.06
2217.5	3.61	0.06
2220.0	3.57	0.05
2222.5	3.49	0.04
2225.0	3.39	0.04
2227.5	3.42	0.04
2230.0	3.46	0.06
2232.5	3.49	0.06
2235.0	3.56	0.07
2237.5	3.80	0.05
2240.0	4.01	0.07
2242.5	3.87	0.06
2245.0	3.80	0.06
2247.5	3.72	0.05
2250.0	3.61	0.06
2252.5	3.45	0.09
2255.0	3.39	0.06
2257.5	3.32	0.07
2260.0	3.21	0.08
2262.5	3.30	0.06
2265.0	3.45	0.10
2267.5	3.37	0.12
2270.0	3.48	0.06
2272.5	3.50	0.05
2275.0	3.87	0.07
2277.5	3.80	0.05
2280.0	3.84	0.04
2282.5	3.91	0.09
2285.0	3.80	0.05
2287.5	3.69	0.08
2290.0	3.68	0.05
2292.5	3.46	0.08
2295.0	3.45	0.06
2297.5	3.27	0.07
2300.0	3.28	0.11
2302.5	3.36	0.07
2305.0	3.35	0.06
2307.5	3.43	0.08
2310.0	3.61	0.04
2312.5	3.70	0.06
2315.0	3.74	0.08
2317.5	3.75	0.07
2320.0	3.76	0.04
2322.5	3.60	0.08
2325.0	3.52	0.04
2327.5	3.64	0.06
2330.0	3.64	0.07
2332.5	3.52	0.08
2335.0	3.39	0.07
2337.5	3.29	0.06
2340.0	3.20	0.09
2342.5	3.33	0.07
2345.0	3.37	0.06
2347.5	3.25	0.07
2350.0	3.58	0.06
2352.5	3.72	0.05
2355.0	3.80	0.05
2357.5	3.96	0.06
2360.0	3.92	0.03
2362.5	3.76	0.05
2365.0	3.87	0.04
2367.5	3.63	0.07
2370.0	3.72	0.05
2372.5	3.63	0.07
2375.0	3.39	0.07
2377.5	3.38	0.06
2380.0	3.37	0.05
2382.5	3.24	0.10
2385.0	3.33	0.07
2387.5	3.48	0.06
2390.0	3.54	0.08
2392.5	3.60	0.08
2395.0	3.41	0.09
2397.5	3.46	0.07
2400.0	3.48	0.09
2402.5	3.67	0.07
2405.0	3.69	0.07
2407.5	3.41	0.07
2410.0	3.29	0.08
2412.5	3.37	0.06
2415.0	3.37	0.06
2417.5	3.33	0.06
2420.0	3.35	0.07
2422.5	3.53	0.06
2425.0	3.49	0.08
2427.5	3.66	0.05
2430.0	3.93	0.06
2432.5	4.17	0.06
2435.0	4.09	0.06
2437.5	4.14	0.05
2440.0	4.01	0.04
2442.5	4.00	0.07
2445.0	3.95	0.07
2447.5	3.91	0.06
2450.0	3.73	0.06
2452.5	3.69	0.05
2455.0	3.45	0.05
2457.5	3.39	0.05
2460.0	3.39	0.06
2462.5	3.21	0.07
2465.0	3.25	0.06
2467.5	3.31	0.06
2470.0	3.32	0.06
2472.5	3.43	0.07
2475.0	3.57	0.08
2477.5	3.70	0.07
2480.0	3.70	0.05
2482.5	3.96	0.05
2485.0	3.99	0.10
2487.5	4.16	0.06
2490.0	3.83	0.08
2492.5	3.65	0.09
2495.0	3.62	0.05
2497.5	3.43	0.06
2500.0	3.18	0.08
2502.5	3.35	0.05
2505.0	3.48	0.05
2507.5	3.42	0.06
2510.0	3.65	0.05
2512.5	3.76	0.09
2515.0	3.89	0.07
2517.5	4.12	0.07
2520.0	4.13	0.07
2522.5	4.06	0.06
2525.0	4.13	0.03
2527.5	4.03	0.04
2530.0	3.89	0.06
2532.5	3.93	0.04
2535.0	3.73	0.09
2537.5	3.74	0.05
2540.0	3.63	0.07
2542.5	3.35	0.08
2545.0	3.27	0.06
2547.5	3.18	0.07
2550.0	3.21	0.06
2552.5	3.28	0.08
2555.0	3.43	0.06
2557.5	3.39	0.07
2560.0	3.37	0.06
2562.5	3.38	0.07
2565.0	3.63	0.05
2567.5	3.53	0.06
2570.0	3.47	0.05
2572.5	3.47	0.06
2575.0	3.41	0.07
2577.5	3.32	0.06
2580.0	3.23	0.05
2582.5	3.26	0.05
2585.0	3.16	0.08
2587.5	3.27	0.07
2590.0	3.43	0.06
2592.5	3.45	0.07
2595.0	3.47	0.05
2597.5	3.74	0.05
2600.0	3.90	0.05
2602.5	3.86	0.06
2605.0	3.81	0.06
2607.5	3.85	0.05
2610.0	3.62	0.07
2612.5	3.64	0.05
2615.0	3.44	0.08
2617.5	3.45	0.07
2620.0	3.27	0.05
2622.5	3.24	0.05
2625.0	3.31	0.08
2627.5	3.26	0.08
2630.0	3.23	0.06
2632.5	3.44	0.05
2635.0	3.45	0.07
2637.5	3.48	0.06
2640.0	3.66	0.04
2642.5	3.72	0.05
2645.0	3.84	0.06
2647.5	3.69	0.05
2650.0	3.51	0.09
2652.5	3.41	0.06
2655.0	3.35	0.07
2657.5	3.14	0.09
2660.0	3.23	0.08
2662.5	3.05	0.08
2665.0	3.25	0.05
2667.5	3.24	0.09
2670.0	3.19	0.06
2672.5	3.20	0.07
2675.0	3.22	0.08
2677.5	3.36	0.07
2680.0	3.37	0.07
2682.5	3.54	0.08
2685.0	3.68	0.06
2687.5	3.75	0.03
2690.0	3.61	0.06
2692.5	3.53	0.06
2695.0	3.61	0.08
2697.5	3.57	0.07
2700.0	3.61	0.05
2702.5	3.48	0.07
2705.0	3.79	0.04
2707.5	3.76	0.07
2710.0	3.70	0.05
2712.5	3.76	0.06
2715.0	3.87	0.04
2717.5	3.80	0.05
2720.0	3.80	0.06
2722.5	3.77	0.06
2725.0	3.66	0.08
2727.5	3.61	0.07
2730.0	3.47	0.05
2732.5	3.39	0.05
2735.0	3.27	0.06
2737.5	3.12	0.04
2740.0	3.18	0.05
2742.5	3.04	0.06
2745.0	3.15	0.05
2747.5	3.09	0.04
2750.0	3.13	0.05
2752.5	3.21	0.04
2755.0	3.19	0.05
2757.5	3.16	0.05
2760.0	3.27	0.05
2762.5	3.24	0.04
2765.0	3.24	0.05
2767.5	3.15	0.05
2770.0	3.13	0.04
2772.5	3.28	0.05
2775.0	3.31	0.04
2777.5	3.23	0.05
2780.0	3.18	0.05
2782.5	3.16	0.05
2785.0	3.19	0.05
2787.5	3.24	0.06
2790.0	3.21	0.06
2792.5	3.26	0.05
2795.0	3.41	0.07
2797.5	3.40	0.05
2800.0	3.50	0.06
2802.5	3.74	0.05
2805.0	3.78	0.05
2807.5	3.73	0.06
2810.0	3.65	0.07
2812.5	3.66	0.05
2815.0	3.63	0.05
2817.5	3.45	0.05
2820.0	3.38	0.06
2822.5	3.26	0.05
2825.0	3.15	0.08
2827.5	3.12	0.06
2830.0	3.16	0.06
2832.5	3.11	0.04
2835.0	3.17	0.08
2837.5	3.27	0.08
2840.0	3.34	0.05
2842.5	3.42	0.06
2845.0	3.38	0.07
2847.5	3.50	0.07
2850.0	3.40	0.06
2852.5	3.42	0.05
2855.0	3.44	0.06
2857.5	3.33	0.06
2860.0	3.19	0.08
2862.5	3.25	0.06
2865.0	3.37	0.05
2867.5	3.31	0.06
2870.0	3.30	0.09
2872.5	3.23	0.06
2875.0	3.23	0.05
2877.5	3.47	0.06
2880.0	3.48	0.06
2882.5	3.45	0.04
2885.0	3.50	0.08
2887.5	3.46	0.06
2890.0	3.49	0.04
2892.5	3.34	0.07
2895.0	3.29	0.05
2897.5	3.14	0.05
2900.0	3.22	0.06
2902.5	3.21	0.07
2905.0	3.32	0.05
2907.5	3.28	0.08
2910.0	3.27	0.04
2912.5	3.30	0.05
2915.0	3.49	0.08
2917.5	3.41	0.05
2920.0	3.51	0.05
2922.5	3.50	0.06
2925.0	3.50	0.04
2927.5	3.33	0.09
2930.0	3.43	0.10
2932.5	3.51	0.07
2935.0	3.31	0.06
2937.5	3.18	0.06
2940.0	3.09	0.08
2942.5	2.95	0.07
2945.0	2.95	0.04
2947.5	3.06	0.06
2950.0	2.93	0.06
2952.5	2.92	0.07
2955.0	3.16	0.05
2957.5	3.23	0.06
2960.0	3.08	0.08
2962.5	3.18	0.06
2965.0	3.16	0.05
2967.5	3.35	0.06
2970.0	3.30	0.06
2972.5	3.33	0.04
2975.0	3.48	0.06
2977.5	3.43	0.04
2980.0	3.45	0.07
2982.5	3.26	0.06
2985.0	3.07	0.06
2987.5	3.15	0.06
2990.0	3.18	0.07
2992.5	3.21	0.04
2995.0	3.20	0.07
2997.5	3.22	0.06
3000.0	3.36	0.00
3005.0	3.44	0.04
3010.0	3.46	0.04
3015.0	3.52	0.04
3020.0	3.49	0.04
3025.0	3.32	0.04
3030.0	3.13	0.04
3035.0	3.09	0.06
3040.0	3.23	0.05
3045.0	3.31	0.04
3050.0	3.33	0.06
3055.0	3.14	0.04
3060.0	2.95	0.06
3065.0	3.05	0.06
3070.0	3.09	0.06
3075.0	3.10	0.04
3080.0	3.09	0.05
3085.0	2.94	0.06
3090.0	3.18	0.05
3095.0	3.18	0.05
3100.0	3.08	0.05
3105.0	3.06	0.06
3110.0	3.13	0.04
3115.0	3.22	0.04
3120.0	3.26	0.03
3125.0	3.34	0.04
3130.0	3.38	0.03
3135.0	3.45	0.05
3140.0	3.38	0.05
3145.0	3.35	0.05
3150.0	3.16	0.05
3155.0	2.95	0.04
3160.0	3.01	0.05
3165.0	3.04	0.05
3170.0	3.14	0.04
3175.0	3.19	0.04
3180.0	3.16	0.05
3185.0	3.08	0.05
3190.0	2.95	0.05
3195.0	3.09	0.04
3200.0	3.02	0.07
3205.0	3.00	0.05
3210.0	3.02	0.05
3215.0	3.20	0.04
3220.0	3.13	0.04
3225.0	3.21	0.04
3230.0	3.13	0.03
3235.0	3.24	0.05
3240.0	3.04	0.05
3245.0	3.04	0.06
3250.0	3.03	0.04
3255.0	3.17	0.04
3260.0	3.16	0.04
3265.0	3.32	0.05
3270.0	3.27	0.05
3275.0	3.33	0.05
3280.0	3.26	0.04
3285.0	3.40	0.04
3290.0	3.65	0.04
3295.0	3.74	0.04
3300.0	3.71	0.03
3305.0	3.42	0.04
3310.0	3.37	0.05
3315.0	3.22	0.05
3320.0	3.10	0.04
3325.0	3.20	0.05
3330.0	3.21	0.05
3335.0	3.25	0.04
3340.0	3.41	0.04
3345.0	3.31	0.04
3350.0	3.18	0.04
3355.0	3.22	0.05
3360.0	3.17	0.04
3365.0	3.11	0.03
3370.0	3.15	0.04
3375.0	3.35	0.03
3380.0	3.35	0.03
3385.0	3.25	0.04
3390.0	3.16	0.05
3395.0	3.08	0.04
3400.0	3.13	0.04
3405.0	3.14	0.04
3410.0	3.08	0.05
3415.0	2.99	0.05
3420.0	3.10	0.05
3425.0	3.20	0.05
3430.0	3.11	0.04
3435.0	2.90	0.04
3440.0	2.90	0.03
3445.0	3.04	0.03
3450.0	3.12	0.03
3455.0	3.03	0.04
3460.0	3.07	0.06
3465.0	3.23	0.05
3470.0	3.09	0.04
3475.0	2.92	0.04
3480.0	2.89	0.05
3485.0	3.00	0.04
3490.0	2.98	0.04
3495.0	3.06	0.04
3500.0	2.93	0.05
3505.0	2.95	0.05
3510.0	2.97	0.06
3515.0	3.04	0.05
3520.0	3.11	0.04
3525.0	3.18	0.05
3530.0	3.14	0.04
3535.0	3.01	0.04
3540.0	2.92	0.04
3545.0	3.01	0.03
3550.0	3.11	0.04
3555.0	3.12	0.03
3560.0	3.14	0.03
3565.0	3.05	0.04
3570.0	2.89	0.04
3575.0	2.94	0.04
3580.0	3.18	0.03
3585.0	3.16	0.03
3590.0	3.15	0.05
3595.0	2.99	0.06
3600.0	3.00	0.04
3605.0	3.09	0.05
3610.0	2.93	0.04
3615.0	3.04	0.04
3620.0	3.20	0.05
3625.0	3.33	0.04
3630.0	3.41	0.04
3635.0	3.29	0.04
3640.0	3.05	0.05
3645.0	2.98	0.04
3650.0	2.96	0.03
3655.0	3.14	0.04
3660.0	3.18	0.05
3665.0	3.40	0.03
3670.0	3.45	0.03
3675.0	3.21	0.04
3680.0	3.05	0.03
3685.0	2.98	0.04
3690.0	2.92	0.04
3695.0	3.02	0.04
3700.0	3.05	0.05
3705.0	3.10	0.04
3710.0	3.28	0.05
3715.0	3.29	0.04
3720.0	2.97	0.04
3725.0	2.83	0.06
3730.0	3.00	0.04
3735.0	2.93	0.04
3740.0	2.96	0.04
3745.0	3.20	0.05
3750.0	3.08	0.05
3755.0	2.98	0.05
3760.0	2.93	0.04
3765.0	2.89	0.03
3770.0	3.09	0.03
3775.0	3.08	0.04
3780.0	3.05	0.04
3785.0	2.97	0.04
3790.0	3.06	0.06
3795.0	3.21	0.07
3800.0	3.00	0.06
3805.0	3.10	0.05
3810.0	3.05	0.04
3815.0	3.00	0.06
3820.0	2.99	0.05
3825.0	3.22	0.04
3830.0	3.26	0.04
3835.0	3.05	0.04
3840.0	2.86	0.04
3845.0	2.88	0.05
3850.0	2.90	0.05
3855.0	2.89	0.05
3860.0	2.89	0.04
3865.0	3.17	0.05
3870.0	3.16	0.05
3875.0	3.25	0.04
3880.0	3.01	0.06
3885.0	2.95	0.04
3890.0	2.89	0.04
3895.0	3.06	0.04
3900.0	2.92	0.04
3905.0	2.92	0.03
3910.0	2.87	0.03
3915.0	3.07	0.04
3920.0	3.08	0.03
3925.0	2.91	0.04
3930.0	2.89	0.04
3935.0	2.83	0.05
3940.0	2.97	0.05
3945.0	3.04	0.03
3950.0	3.02	0.04
3955.0	2.90	0.06
3960.0	2.89	0.05
3965.0	2.94	0.04
3970.0	3.01	0.05
3975.0	3.01	0.06
3980.0	3.06	0.05
3985.0	3.06	0.08
3990.0	3.24	0.06
3995.0	3.30	0.04
4000.0	3.23	0.05
4005.0	3.16	0.06
4010.0	2.96	0.06
4015.0	2.95	0.05
4020.0	3.07	0.05
4025.0	3.02	0.04
4030.0	3.12	0.04
4035.0	3.17	0.05
4040.0	3.20	0.05
4045.0	3.16	0.04
4050.0	3.06	0.04
4055.0	3.06	0.06
4060.0	3.10	0.04
4065.0	3.01	0.04
4070.0	3.08	0.05
4075.0	3.02	0.07
4080.0	3.01	0.04
4085.0	3.03	0.06
4090.0	3.07	0.04
4095.0	3.07	0.05
4100.0	2.87	0.05
4105.0	2.88	0.05
4110.0	2.87	0.04
4115.0	2.91	0.04
4120.0	2.94	0.04
4125.0	3.00	0.05
4130.0	2.82	0.03
4135.0	2.98	0.04
4140.0	2.92	0.04
4145.0	2.98	0.04
4150.0	3.11	0.05
4155.0	3.16	0.06
4160.0	3.11	0.05
4165.0	3.00	0.05
4170.0	3.06	0.09
4175.0	2.99	0.05
4180.0	2.87	0.09
4185.0	2.86	0.04
4190.0	2.95	0.06
4195.0	3.04	0.05
4200.0	3.11	0.04
4205.0	3.04	0.06
4210.0	3.00	0.04
4215.0	2.85	0.04
4220.0	3.00	0.04
4225.0	2.98	0.05
4230.0	2.91	0.04
4235.0	3.03	0.04
4240.0	3.03	0.04
4245.0	3.06	0.04
4250.0	2.99	0.03
4255.0	3.10	0.08
4260.0	2.95	0.06
4265.0	2.96	0.04
4270.0	2.88	0.09
4275.0	3.06	0.07
4280.0	2.90	0.04
4285.0	2.95	0.06
4290.0	3.02	0.04
4295.0	3.03	0.05
4300.0	3.04	0.05
4305.0	2.88	0.04
4310.0	2.86	0.05
4315.0	2.85	0.05
4320.0	2.84	0.06
4325.0	2.83	0.05
4330.0	3.00	0.05
4335.0	2.85	0.06
4340.0	2.73	0.05
4345.0	2.87	0.04
4350.0	2.84	0.08
4355.0	2.89	0.07
4360.0	3.03	0.04
4365.0	3.07	0.05
4370.0	2.95	0.05
4375.0	2.89	0.06
4380.0	2.98	0.04
4385.0	2.76	0.06
4390.0	2.83	0.06
4395.0	2.94	0.06
4400.0	2.99	0.04
4405.0	3.08	0.03
4410.0	3.03	0.05
4415.0	3.13	0.04
4420.0	2.97	0.05
4425.0	2.94	0.04
4430.0	2.88	0.05
4435.0	2.92	0.06
4440.0	2.88	0.05
4445.0	2.90	0.05
4450.0	3.03	0.05
4455.0	2.95	0.05
4460.0	2.85	0.04
4465.0	2.85	0.05
4470.0	2.87	0.06
4475.0	2.86	0.06
4480.0	2.95	0.05
4485.0	2.92	0.04
4490.0	3.10	0.07
4495.0	3.10	0.06
4500.0	3.12	0.06
4505.0	3.07	0.06
4510.0	2.93	0.05
4515.0	2.99	0.07
4520.0	2.79	0.07
4525.0	3.01	0.05
4530.0	3.04	0.05
4535.0	3.09	0.05
4540.0	2.87	0.04
4545.0	2.81	0.08
4550.0	2.88	0.05
4555.0	2.90	0.04
4560.0	3.02	0.05
4565.0	2.93	0.05
4570.0	2.98	0.04
4575.0	3.16	0.05
4580.0	3.11	0.04
4585.0	3.10	0.04
4590.0	3.00	0.04
4595.0	3.00	0.03
4600.0	2.98	0.04
4605.0	3.09	0.04
4610.0	3.14	0.06
4615.0	3.05	0.05
4620.0	3.04	0.05
4625.0	3.01	0.04
4630.0	3.02	0.06
4635.0	2.95	0.05
4640.0	2.95	0.06
4645.0	2.93	0.05
4650.0	3.09	0.05
4655.0	3.13	0.06
4660.0	2.88	0.05
4665.0	2.97	0.06
4670.0	2.86	0.05
4675.0	2.92	0.06
4680.0	2.86	0.06
4685.0	3.06	0.07
4690.0	3.17	0.05
4695.0	3.08	0.04
4700.0	3.13	0.04
4705.0	2.97	0.05
4710.0	2.92	0.06
4715.0	3.03	0.04
4720.0	2.95	0.06
4725.0	3.13	0.04
4730.0	3.14	0.05
4735.0	3.09	0.04
4740.0	2.91	0.04
4745.0	2.96	0.04
4750.0	3.04	0.04
4755.0	2.86	0.07
4760.0	2.92	0.05
4765.0	3.00	0.03
4770.0	3.20	0.06
4775.0	3.17	0.06
4780.0	3.00	0.04
4785.0	2.99	0.05
4790.0	2.93	0.05
4795.0	2.96	0.05
4800.0	2.99	0.03
4805.0	2.99	0.08
4810.0	3.15	0.05
4815.0	3.15	0.04
4820.0	3.03	0.05
4825.0	2.83	0.05
4830.0	2.85	0.06
4835.0	2.96	0.06
4840.0	3.04	0.06
4845.0	3.24	0.05
4850.0	3.30	0.05
4855.0	3.08	0.06
4860.0	3.06	0.05
4865.0	2.98	0.05
4870.0	2.88	0.06
4875.0	2.86	0.05
4880.0	2.91	0.06
4885.0	3.18	0.06
4890.0	3.27	0.10
4895.0	3.30	0.07
4900.0	3.15	0.06
4905.0	3.03	0.05
4910.0	2.85	0.06
4915.0	2.85	0.04
4920.0	2.96	0.05
4925.0	2.77	0.07
4930.0	2.91	0.04
4935.0	3.03	0.06
4940.0	3.07	0.05
4945.0	3.03	0.07
4950.0	3.05	0.06
4955.0	2.84	0.12
4960.0	2.86	0.07
4965.0	2.91	0.08
4970.0	2.93	0.09
4975.0	2.94	0.06
4980.0	3.17	0.06
4985.0	2.95	0.07
4990.0	2.74	0.05
4995.0	2.85	0.05
5000.0	2.79	0.04
5005.0	2.95	0.06
5010.0	2.94	0.06
5015.0	2.87	0.07
5020.0	2.74	0.07
5025.0	2.74	0.10
5030.0	2.77	0.06
5035.0	2.79	0.08
5040.0	3.06	0.06
5045.0	3.17	0.05
5050.0	3.04	0.07
5055.0	3.06	0.08
5060.0	2.85	0.06
5065.0	2.90	0.10
5070.0	2.93	0.08
5075.0	2.69	0.07
5080.0	2.78	0.09
5085.0	2.81	0.07
5090.0	2.66	0.06
5095.0	2.88	0.06
5100.0	3.00	0.11
5105.0	3.04	0.05
5110.0	2.92	0.04
5115.0	2.86	0.07
5120.0	2.80	0.08
5125.0	2.72	0.02
5130.0	2.68	0.06
5135.0	2.65	0.08
5140.0	2.94	0.07
5145.0	2.90	0.05
5150.0	2.89	0.09
5155.0	2.91	0.07
5160.0	2.82	0.13
5165.0	2.95	0.05
5170.0	3.02	0.09
5175.0	3.21	0.10
5180.0	3.11	0.08
5185.0	3.02	0.08
5190.0	3.00	0.07
5195.0	2.82	0.11
5200.0	2.86	0.08
5205.0	3.00	0.11
5210.0	2.96	0.06
5215.0	2.87	0.06
5220.0	2.84	0.09
5225.0	2.93	0.07
5230.0	2.98	0.05
5235.0	2.77	0.08
5240.0	2.92	0.07
5245.0	2.97	0.09
5250.0	3.06	0.09
5255.0	3.09	0.12
5260.0	3.01	0.07
5265.0	2.98	0.08
5270.0	2.80	0.07
5275.0	2.89	0.11
5280.0	2.89	0.08
5285.0	2.80	0.06
5290.0	2.92	0.03
5295.0	2.97	0.06
5300.0	2.91	0.06
5305.0	2.79	0.04
5310.0	2.79	0.09
5315.0	2.84	0.07
5320.0	2.91	0.09
